State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-09-27,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-09-28,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-09-29,3200,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-09-30,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-01,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-02,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-03,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-04,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-05,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-06,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-07,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-08,3200,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-09,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-10,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-11,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-12,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-13,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-14,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-15,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-16,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-17,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-18,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-19,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-20,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-21,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-22,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-23,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-24,3200,3300,3200,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-25,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-26,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-27,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-28,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-29,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-30,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-10-31,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-01,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-02,3300,4000,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-03,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-04,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-05,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-06,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-07,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-08,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-09,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-10,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-11,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-12,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-13,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-14,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-15,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-16,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-17,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-18,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-19,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-20,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-21,3300,3500,3500,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-22,3300,3600,3600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-23,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-24,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-25,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-26,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-27,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-28,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-29,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-11-30,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-01,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-02,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-03,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-04,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-05,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-06,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-07,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-08,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-09,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-10,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-11,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-12,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-13,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-14,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-15,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-16,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-17,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-18,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-19,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-20,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-21,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-22,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-23,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-24,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-25,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-26,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-27,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-28,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-29,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-30,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2022-12-31,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-01,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-02,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-03,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-04,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-05,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-06,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-07,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-08,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-09,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-10,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-11,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-12,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-13,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-14,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-15,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-16,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-17,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-18,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-19,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-20,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-21,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-22,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-23,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-24,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-25,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-26,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-27,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-28,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-29,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-30,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-01-31,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-01,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-02,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-03,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-04,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-05,3200,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-06,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-07,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-08,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-09,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-10,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-11,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-12,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-13,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-14,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-15,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-16,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-17,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-18,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-19,3200,3600,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-20,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-21,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-22,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-23,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-24,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-25,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-26,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-27,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-02-28,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-01,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-02,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-03,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-04,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-05,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-06,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-07,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-08,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-09,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-10,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-11,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-12,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-13,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-14,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-15,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-16,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-17,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-18,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-19,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-20,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-21,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-22,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-23,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-24,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-25,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-26,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-27,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-28,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-29,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-30,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-03-31,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-01,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-02,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-03,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-04,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-05,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-06,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-07,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-08,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-09,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-10,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-11,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-12,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-13,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-14,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-15,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-16,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-17,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-18,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-19,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-20,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-21,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-22,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-23,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-24,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-25,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-26,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-27,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-28,3300,3400,3400,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-29,3200,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-04-30,3200,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-01,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-02,3300,3400,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-03,3200,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-04,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-05,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-06,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-07,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-08,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-09,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-10,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-11,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-12,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-13,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-14,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-15,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-16,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-17,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-18,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-19,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-20,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-21,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-22,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-23,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-24,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-25,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-26,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-27,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-28,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-29,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-30,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-05-31,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-01,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-02,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-03,2350,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-04,3200,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-05,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-06,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-07,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-08,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-09,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-10,3250,3300,3300,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2023-06-11,3250,3300,3300,3
